phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
retrospective_2026,IEK,м,28,regular,sba_selected,341,60,243938.0,252789.311,64.18,3.629,30.276,33.904,4.692,459.115357182152
retrospective_2026,IEK,м,28,regular,tsb_selected,341,60,243938.0,249109.314,61.158,2.12,29.519,31.639,4.692,437.50246091050224
retrospective_2026,IEK,упак,28,all,sultan_mean59,547,71,21205.0,21984.271,51.204,3.675,23.764,27.439,41.865,19.849626622873608
retrospective_2026,IEK,упак,28,all,mean28,547,71,21205.0,21695.0,53.723,2.311,25.706,28.017,41.865,20.82632541133455
retrospective_2026,IEK,упак,28,all,weekly_ewma,547,71,21205.0,21925.575,51.301,3.398,23.951,27.349,41.865,19.88716763328382
retrospective_2026,IEK,упак,28,all,robust_ewma,547,71,21205.0,18605.609,42.567,-12.258,27.413,15.154,41.865,16.50142108443318
retrospective_2026,IEK,упак,28,all,baseline_selected,547,71,21205.0,18605.609,42.567,-12.258,27.413,15.154,41.865,16.50142108443318
retrospective_2026,IEK,упак,28,all,sba_selected,547,71,21205.0,22735.899,49.783,7.22,21.282,28.501,41.865,19.29906133967501
retrospective_2026,IEK,упак,28,all,tsb_selected,547,71,21205.0,22614.9,50.648,6.649,21.999,28.648,41.865,19.634125340355293
retrospective_2026,IEK,упак,28,intermittent,sultan_mean59,370,60,996.0,929.695,122.32,-6.657,64.488,57.831,58.378,3.292716445258818
retrospective_2026,IEK,упак,28,intermittent,mean28,370,60,996.0,991.0,146.084,-0.502,73.293,72.791,58.378,3.9324324324324325
retrospective_2026,IEK,упак,28,intermittent,weekly_ewma,370,60,996.0,1018.045,134.606,2.213,66.197,68.41,58.378,3.623458096733103
retrospective_2026,IEK,упак,28,intermittent,robust_ewma,370,60,996.0,878.776,122.556,-11.77,67.163,55.393,58.378,3.2990834206677144
retrospective_2026,IEK,упак,28,intermittent,baseline_selected,370,60,996.0,878.776,122.556,-11.77,67.163,55.393,58.378,3.2990834206677144
retrospective_2026,IEK,упак,28,intermittent,sba_selected,370,60,996.0,1720.548,143.504,72.746,35.379,108.125,58.378,3.8629792648528505
retrospective_2026,IEK,упак,28,intermittent,tsb_selected,370,60,996.0,1118.749,104.771,12.324,46.224,58.548,58.378,2.8203297861608734
retrospective_2026,IEK,м,28,intermittent,sultan_mean59,516,82,19458.0,15129.492,112.525,-22.245,67.385,45.14,61.24,42.4324004729996
retrospective_2026,IEK,м,28,intermittent,mean28,516,82,19458.0,12462.0,131.195,-35.954,83.575,47.621,61.24,49.47286821705426
retrospective_2026,IEK,м,28,intermittent,weekly_ewma,516,82,19458.0,12296.759,118.881,-36.804,77.842,41.038,61.24,44.829025669321624
retrospective_2026,IEK,м,28,intermittent,robust_ewma,516,82,19458.0,10757.572,112.888,-44.714,78.801,34.087,61.24,42.56910286424634
retrospective_2026,IEK,м,28,intermittent,baseline_selected,516,82,19458.0,10757.572,112.888,-44.714,78.801,34.087,61.24,42.56910286424634
retrospective_2026,IEK,м,28,intermittent,sba_selected,516,82,19458.0,25565.743,139.552,31.389,54.081,85.471,61.24,52.62416658156996
retrospective_2026,IEK,м,28,intermittent,tsb_selected,516,82,19458.0,14608.198,109.769,-24.924,67.347,42.422,61.24,41.393057312341085
retrospective_2026,IEK,упак,28,regular,sultan_mean59,177,36,20209.0,21054.576,47.699,4.184,21.757,25.941,7.345,54.460116824667246
retrospective_2026,IEK,упак,28,regular,mean28,177,36,20209.0,20704.0,49.171,2.449,23.361,25.81,7.345,56.14124293785311
retrospective_2026,IEK,упак,28,regular,weekly_ewma,177,36,20209.0,20907.531,47.195,3.457,21.869,25.326,7.345,53.884752540197745
retrospective_2026,IEK,упак,28,regular,robust_ewma,177,36,20209.0,17726.833,38.624,-12.282,25.453,13.171,7.345,44.09952806518584
retrospective_2026,IEK,упак,28,regular,baseline_selected,177,36,20209.0,17726.833,38.624,-12.282,25.453,13.171,7.345,44.09952806518584
retrospective_2026,IEK,упак,28,regular,sba_selected,177,36,20209.0,21015.351,45.164,3.99,20.587,24.577,7.345,51.566577541280644
retrospective_2026,IEK,упак,28,regular,tsb_selected,177,36,20209.0,21496.151,47.98,6.369,20.806,27.175,7.345,54.781607572287136
development_2025,Systeme electric,шт,7,all,sultan_mean59,3037,536,471531.0,504627.034,100.678,7.019,46.829,53.848,58.808,156.31415926734124
development_2025,Systeme electric,шт,7,all,mean28,3037,536,471531.0,525153.75,101.483,11.372,45.056,56.428,58.808,157.56511359894634
development_2025,Systeme electric,шт,7,all,weekly_ewma,3037,536,471531.0,527682.943,106.055,11.908,47.073,58.982,58.808,164.6630856710423
development_2025,Systeme electric,шт,7,all,robust_ewma,3037,536,471531.0,366746.587,84.782,-22.222,53.502,31.28,58.808,131.63496173311566
development_2025,Systeme electric,шт,7,all,baseline_selected,3037,536,471531.0,366746.587,84.782,-22.222,53.502,31.28,58.808,131.63496173311566
development_2025,Systeme electric,шт,7,all,sba_selected,3037,536,471531.0,526303.461,105.604,11.616,46.994,58.61,58.808,163.96254915255574
development_2025,Systeme electric,шт,7,all,tsb_selected,3037,536,471531.0,499768.435,96.648,5.988,45.33,51.318,58.808,150.05839635690077
development_2025,Systeme electric,шт,7,regular,sultan_mean59,1314,292,462944.0,490552.763,98.434,5.964,46.235,52.199,24.201,346.7982483295926
development_2025,Systeme electric,шт,7,regular,mean28,1314,292,462944.0,509611.75,99.002,10.081,44.461,54.541,24.201,348.7992770167428
development_2025,Systeme electric,шт,7,regular,weekly_ewma,1314,292,462944.0,510643.138,103.358,10.303,46.527,56.831,24.201,364.14629748412636
development_2025,Systeme electric,шт,7,regular,robust_ewma,1314,292,462944.0,350761.056,81.877,-24.233,53.055,28.822,24.201,288.46497529944827
development_2025,Systeme electric,шт,7,regular,baseline_selected,1314,292,462944.0,350761.056,81.877,-24.233,53.055,28.822,24.201,288.46497529944827
development_2025,Systeme electric,шт,7,regular,sba_selected,1314,292,462944.0,494405.451,100.31,6.796,46.757,53.553,24.201,353.4100851564613
development_2025,Systeme electric,шт,7,regular,tsb_selected,1314,292,462944.0,483803.962,94.486,4.506,44.99,49.496,24.201,332.8907228680007
development_2025,Systeme electric,шт,7,intermittent,sultan_mean59,1723,376,8587.0,14074.271,221.651,63.902,78.875,142.777,85.2,11.04654868823593
development_2025,Systeme electric,шт,7,intermittent,mean28,1723,376,8587.0,15542.0,235.274,80.995,77.14,158.134,85.2,11.725478816018573
development_2025,Systeme electric,шт,7,intermittent,weekly_ewma,1723,376,8587.0,17039.805,251.468,98.437,76.515,174.953,85.2,12.532534120030988
development_2025,Systeme electric,шт,7,intermittent,robust_ewma,1723,376,8587.0,15985.531,241.439,86.16,77.64,163.8,85.2,12.032734323852125
development_2025,Systeme electric,шт,7,intermittent,baseline_selected,1723,376,8587.0,15985.531,241.439,86.16,77.64,163.8,85.2,12.032734323852125
development_2025,Systeme electric,шт,7,intermittent,sba_selected,1723,376,8587.0,31898.009,390.98,271.469,59.755,331.224,85.2,19.48543811997772
development_2025,Systeme electric,шт,7,intermittent,tsb_selected,1723,376,8587.0,15964.474,213.217,85.914,63.651,149.566,85.2,10.626198425626692
development_2025,Systeme electric,шт,28,all,sultan_mean59,3037,536,2039680.0,2018508.136,74.427,-1.038,37.732,36.694,34.146,499.8574195096633
development_2025,Systeme electric,шт,28,all,mean28,3037,536,2039680.0,2100615.0,78.618,2.987,37.815,40.803,34.146,528.0062561738558
development_2025,Systeme electric,шт,28,all,weekly_ewma,3037,536,2039680.0,2110731.772,82.542,3.483,39.529,43.013,34.146,554.3580591358054
development_2025,Systeme electric,шт,28,all,robust_ewma,3037,536,2039680.0,1466986.347,66.951,-28.078,47.514,19.437,34.146,449.64769766553314
development_2025,Systeme electric,шт,28,all,baseline_selected,3037,536,2039680.0,1466986.347,66.951,-28.078,47.514,19.437,34.146,449.64769766553314
development_2025,Systeme electric,шт,28,all,sba_selected,3037,536,2039680.0,2105213.843,77.047,3.213,36.917,40.13,34.146,517.4530985365865
development_2025,Systeme electric,шт,28,all,tsb_selected,3037,536,2039680.0,1999073.741,71.015,-1.991,36.503,34.512,34.146,476.945814348418
development_2025,Systeme electric,шт,28,regular,sultan_mean59,1314,292,1980839.0,1962211.051,73.874,-0.94,37.407,36.467,3.881,1113.6351804555893
development_2025,Systeme electric,шт,28,regular,mean28,1314,292,1980839.0,2038447.0,77.513,2.908,37.302,40.211,3.881,1168.5022831050228
development_2025,Systeme electric,шт,28,regular,weekly_ewma,1314,292,1980839.0,2042572.551,81.429,3.117,39.156,42.273,3.881,1227.5314135694866
development_2025,Systeme electric,шт,28,regular,robust_ewma,1314,292,1980839.0,1403044.223,65.44,-29.169,47.305,18.136,3.881,986.50737405909
