phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,robust_ewma,8652,1596,668065.0,617838.663,39.991,-7.518,23.754,16.236,38.87
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,seasonal364,8652,1596,668065.0,684616.851,42.371,2.478,19.947,22.424,38.87
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,seasonal_blend,8652,1596,668065.0,684616.851,42.371,2.478,19.947,22.424,38.87
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,selected_2025,8652,1596,668065.0,617838.663,39.991,-7.518,23.754,16.236,38.87
validation_2025,IEK,шт,28,regular,sultan_mean59,3131,762,759759.0,764256.203,33.274,0.592,16.341,16.933,5.206
validation_2025,IEK,шт,28,regular,mean28,3131,762,759759.0,783401.0,36.26,3.112,16.574,19.686,5.206
validation_2025,IEK,шт,28,regular,weekly_ewma,3131,762,759759.0,790966.242,34.476,4.108,15.184,19.292,5.206
validation_2025,IEK,шт,28,regular,robust_ewma,3131,762,759759.0,723826.854,32.359,-4.729,18.544,13.815,5.206
validation_2025,IEK,шт,28,regular,seasonal364,3131,762,759759.0,790966.242,34.476,4.108,15.184,19.292,5.206
validation_2025,IEK,шт,28,regular,seasonal_blend,3131,762,759759.0,790966.242,34.476,4.108,15.184,19.292,5.206
validation_2025,IEK,шт,28,regular,selected_2025,3131,762,759759.0,723826.854,32.359,-4.729,18.544,13.815,5.206
validation_2025,IEK,м,28,all,sultan_mean59,588,102,306065.0,324990.305,55.908,6.183,24.862,31.046,25.0
validation_2025,IEK,м,28,all,mean28,588,102,306065.0,324783.0,55.629,6.116,24.757,30.873,25.0
validation_2025,IEK,м,28,all,weekly_ewma,588,102,306065.0,331931.142,52.409,8.451,21.979,30.43,25.0
validation_2025,IEK,м,28,all,robust_ewma,588,102,306065.0,268878.633,50.471,-12.15,31.31,19.161,25.0
validation_2025,IEK,м,28,all,seasonal364,588,102,306065.0,331931.142,52.409,8.451,21.979,30.43,25.0
validation_2025,IEK,м,28,all,seasonal_blend,588,102,306065.0,331931.142,52.409,8.451,21.979,30.43,25.0
validation_2025,IEK,м,28,all,selected_2025,588,102,306065.0,268878.633,50.471,-12.15,31.31,19.161,25.0
validation_2025,IEK,м,28,regular,sultan_mean59,294,66,297514.0,318891.525,54.721,7.185,23.768,30.953,3.401
validation_2025,IEK,м,28,regular,mean28,294,66,297514.0,318784.0,54.075,7.149,23.463,30.612,3.401
validation_2025,IEK,м,28,regular,weekly_ewma,294,66,297514.0,326069.26,51.09,9.598,20.746,30.344,3.401
validation_2025,IEK,м,28,regular,robust_ewma,294,66,297514.0,263616.247,49.132,-11.394,30.263,18.869,3.401
validation_2025,IEK,м,28,regular,seasonal364,294,66,297514.0,326069.26,51.09,9.598,20.746,30.344,3.401
validation_2025,IEK,м,28,regular,seasonal_blend,294,66,297514.0,326069.26,51.09,9.598,20.746,30.344,3.401
validation_2025,IEK,м,28,regular,selected_2025,294,66,297514.0,263616.247,49.132,-11.394,30.263,18.869,3.401
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,sultan_mean59,582,101,268250.0,292394.034,60.125,9.001,25.562,34.563,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,mean28,582,101,268250.0,290581.0,59.915,8.325,25.795,34.12,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,weekly_ewma,582,101,268250.0,295344.938,56.224,10.101,23.062,33.162,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,robust_ewma,582,101,268250.0,239655.021,52.365,-10.66,31.512,20.853,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,seasonal364,582,101,268250.0,295344.938,56.224,10.101,23.062,33.162,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,seasonal_blend,582,101,268250.0,295344.938,56.224,10.101,23.062,33.162,25.258
validation_2025,IEK,м,28,no_ambiguous_rows_sensitivity,selected_2025,582,101,268250.0,239655.021,52.365,-10.66,31.512,20.853,25.258
validation_2025,IEK,упак,28,all,sultan_mean59,365,65,23014.0,23716.949,41.163,3.054,19.054,22.109,33.699
validation_2025,IEK,упак,28,all,mean28,365,65,23014.0,24252.0,47.51,5.379,21.065,26.445,33.699
validation_2025,IEK,упак,28,all,weekly_ewma,365,65,23014.0,24358.906,45.892,5.844,20.024,25.868,33.699
validation_2025,IEK,упак,28,all,robust_ewma,365,65,23014.0,21556.845,41.098,-6.332,23.715,17.383,33.699
validation_2025,IEK,упак,28,all,seasonal364,365,65,23014.0,24358.906,45.892,5.844,20.024,25.868,33.699
validation_2025,IEK,упак,28,all,seasonal_blend,365,65,23014.0,24358.906,45.892,5.844,20.024,25.868,33.699
validation_2025,IEK,упак,28,all,selected_2025,365,65,23014.0,21556.845,41.098,-6.332,23.715,17.383,33.699
validation_2025,IEK,упак,28,intermittent,sultan_mean59,234,50,912.0,523.932,97.911,-42.551,70.231,27.68,51.709
validation_2025,IEK,упак,28,intermittent,mean28,234,50,912.0,607.0,101.864,-33.443,67.654,34.211,51.709
validation_2025,IEK,упак,28,intermittent,weekly_ewma,234,50,912.0,600.011,99.716,-34.209,66.963,32.753,51.709
validation_2025,IEK,упак,28,intermittent,robust_ewma,234,50,912.0,541.184,95.372,-40.66,68.016,27.356,51.709
validation_2025,IEK,упак,28,intermittent,seasonal364,234,50,912.0,600.011,99.716,-34.209,66.963,32.753,51.709
validation_2025,IEK,упак,28,intermittent,seasonal_blend,234,50,912.0,600.011,99.716,-34.209,66.963,32.753,51.709
